citation_id,citation_context,section,citation_intent
30997,Ses verilerinden çıkarılan MFCC'nin makine öğrenmesi ve derin öğrenme algoritmalarında öznitelik olarak kullanılmasıyla dijital ses işleme alanında birçok çalışma gerçekleştirilmiştir [7] .,GİRİŞ (INTRODUCTION),background
30998,Ses verilerinden çıkarılan MFCC'nin makine öğrenmesi ve derin öğrenme algoritmalarında öznitelik olarak kullanılmasıyla dijital ses işleme alanında birçok çalışma gerçekleştirilmiştir [8] .,GİRİŞ (INTRODUCTION),background
30999,Ses verilerinden çıkarılan MFCC'nin makine öğrenmesi ve derin öğrenme algoritmalarında öznitelik olarak kullanılmasıyla dijital ses işleme alanında birçok çalışma gerçekleştirilmiştir [9] .,GİRİŞ (INTRODUCTION),background
31000,Ses verilerinden çıkarılan MFCC'nin makine öğrenmesi ve derin öğrenme algoritmalarında öznitelik olarak kullanılmasıyla dijital ses işleme alanında birçok çalışma gerçekleştirilmiştir [10] .,GİRİŞ (INTRODUCTION),background
31001,Ses verilerinden çıkarılan MFCC'nin makine öğrenmesi ve derin öğrenme algoritmalarında öznitelik olarak kullanılmasıyla dijital ses işleme alanında birçok çalışma gerçekleştirilmiştir [11] .,GİRİŞ (INTRODUCTION),background
31002,Turnbull vd. ses kayıtlarının müzik türlerine göre otomatik sınıflandırılmasını amaçlayan çalışmada MFCC ve ses sinyalinin kısa süreli Fourier dönüşümüne (STFT) dayalı öznitelikleri ile Radyal Temelli Fonksiyon (RBF) eğitmiş ve önerilen yöntemin insan performansına yakın başarı gösterdiği gözlemlenmiştir [5] .,GİRİŞ (INTRODUCTION),background
31003,"Iheme vd. ses verisinin sessizlik, konuşma ve müzik olmak üzere üç sınıftan biri olarak sınıflandırmak amacıyla ses verilerinin MFCC katsayılarını, türevlerini ve ikinci türevlerini SVM (Support Vector Machine) ve Naive Bayes algoritmalarının eğitiminde öznitelik olarak kullanmış ve bu özniteliklerin başarıya etkilerini araştırmışlardır [6] .",GİRİŞ (INTRODUCTION),background
31004,"Elde edilen standart sapma, farklı duygular için optimize edilmiş standart sapma değerleriyle ""if-else"" yapısında karşılaştırılarak sese ait duygu tespit edilmiştir [7] .",GİRİŞ (INTRODUCTION),background
31005,Performans analizi sonucu da %68'dir [8] .,GİRİŞ (INTRODUCTION),background
31006,"Waghmare vd. yapay duygusal Marathi konuşma veri tabanından konuşma duygusunu analiz etmek ve tanımak için MFCC öznitelikleri çıkarmış, çıkarılan öznitelikler LDA (Lineer Diskriminant Analiz) sınıflandırıcısının eğitiminde kullanılmıştır [9] .",GİRİŞ (INTRODUCTION),background
31007,%50 sınıflandırma başarısı elde edilmiştir [10] .,GİRİŞ (INTRODUCTION),background
31008,"YSA (Yapay Sinir Ağları), SVM, RBFNN (Radyal Temel Fonksiyonu Sinir Ağları) kullanarak müzikte duyguyu tanımak için MFCC kullanmışlardır [11] .",GİRİŞ (INTRODUCTION),background
31009,Yeterli sayıdaki ses verisi ile yapay sinir ağları eğitilerek Konuşma Duygusu Tanıma (KDT) alanında birçok çalışma gerçekleştirilmiştir [12] MFCC özniteliklerine ve ses sinyallerinden üretilen melspektrogramlarına dayalı olarak duyguları tahmin eden çift aşamalı bir yöntem önermişlerdir  .,GİRİŞ (INTRODUCTION),background
31010,Yeterli sayıdaki ses verisi ile yapay sinir ağları eğitilerek Konuşma Duygusu Tanıma (KDT) alanında birçok çalışma gerçekleştirilmiştir [13] MFCC özniteliklerine ve ses sinyallerinden üretilen melspektrogramlarına dayalı olarak duyguları tahmin eden çift aşamalı bir yöntem önermişlerdir  .,GİRİŞ (INTRODUCTION),background
31011,Yeterli sayıdaki ses verisi ile yapay sinir ağları eğitilerek Konuşma Duygusu Tanıma (KDT) alanında birçok çalışma gerçekleştirilmiştir [14] MFCC özniteliklerine ve ses sinyallerinden üretilen melspektrogramlarına dayalı olarak duyguları tahmin eden çift aşamalı bir yöntem önermişlerdir  .,GİRİŞ (INTRODUCTION),background
31012,Yeterli sayıdaki ses verisi ile yapay sinir ağları eğitilerek Konuşma Duygusu Tanıma (KDT) alanında birçok çalışma gerçekleştirilmiştir   MFCC özniteliklerine ve ses sinyallerinden üretilen melspektrogramlarına dayalı olarak duyguları tahmin eden çift aşamalı bir yöntem önermişlerdir [15] .,GİRİŞ (INTRODUCTION),background
31013,"EmoDB veri seti ile gerçekleştirilen başka bir çalışmada ise spektrogram, Mel-spektrogram ve MFCC olmak üzere önerilen CNN+BLSTM mimarisi üç farklı öznitelik ile eğitilmiş ve konuşma duygusu tanımada MFCC özniteliklerinin başarılı sonuçlar verdiği gözlemlenmiştir [14, .",GİRİŞ (INTRODUCTION),background
31014,"EmoDB veri seti ile gerçekleştirilen başka bir çalışmada ise spektrogram, Mel-spektrogram ve MFCC olmak üzere önerilen CNN+BLSTM mimarisi üç farklı öznitelik ile eğitilmiş ve konuşma duygusu tanımada MFCC özniteliklerinin başarılı sonuçlar verdiği gözlemlenmiştir 16] .",GİRİŞ (INTRODUCTION),background
31015,"Literatürde yer alan çalışmalar incelendiğinde EmoDB veri setinin duygu tanımada yaygın olarak kullanıldığı görülmektedir [8, .",GİRİŞ (INTRODUCTION),background
31016,"Literatürde yer alan çalışmalar incelendiğinde EmoDB veri setinin duygu tanımada yaygın olarak kullanıldığı görülmektedir 10, .",GİRİŞ (INTRODUCTION),background
31017,"Literatürde yer alan çalışmalar incelendiğinde EmoDB veri setinin duygu tanımada yaygın olarak kullanıldığı görülmektedir 12, .",GİRİŞ (INTRODUCTION),background
31018,"Literatürde yer alan çalışmalar incelendiğinde EmoDB veri setinin duygu tanımada yaygın olarak kullanıldığı görülmektedir 14, .",GİRİŞ (INTRODUCTION),background
31019,Literatürde yer alan çalışmalar incelendiğinde EmoDB veri setinin duygu tanımada yaygın olarak kullanıldığı görülmektedir 16] .,GİRİŞ (INTRODUCTION),background
31020,"Berlin EmoDB [17] , 7 duygu içeren ve sınıflandırma doğruluğunu doğru bir şekilde değerlendirmek için her duyguyu neredeyse aynı sayıda içeren dengeli bir veri setidir.",GİRİŞ (INTRODUCTION),background
31021,"Spontane duyguları içeren, üç boyutlu bir duygu alanı çerçevesinde oluşturulan VAM veri tabanı [18, bir Alman TV talk-show'u ""Vera am Mittag"" kaydedilmiştir.",GİRİŞ (INTRODUCTION),background
31022,"Spontane duyguları içeren, üç boyutlu bir duygu alanı çerçevesinde oluşturulan VAM veri tabanı 19] bir Alman TV talk-show'u ""Vera am Mittag"" kaydedilmiştir.",GİRİŞ (INTRODUCTION),background
