citation_id,citation_context,section,citation_intent
32224,"Dünya nüfusunun artışıyla birlikte yaşlılık, kazalar, hastalıklar ve savaşlar gibi sebeplerden dolayı rehabilitasyon hizmetlerine duyulan ihtiyaç giderek daha çok önem kazanmıştır (Akdemir & Akkuş, 2006) .",GİRİŞ,background
32225,"Dünya çapında nüfusun sağlığında ve özelliklerinde meydana gelen değişikliklerle birlikte, bu tahmini rehabilitasyon ihtiyacının önümüzdeki yıllarda artacağı öngörülmektedir (Cieza et al., 2020) .",GİRİŞ,background
32226,"Bununla beraber teknoloji de son derece hızlı bir şekilde ilerlemekte ve sağlık sektöründe bu ilerlemeye paralel olarak birçok gelişme yaşanmaktadır (Akdemir & Akkuş, 2006) .",GİRİŞ,background
32227,"Bu kapsamda toplanan verilerin insan sinir ağlarına benzer bir formatta yorumlanması, bilgi üretmesi, analiz yapması ve kendi kendine bu bilgileri organize edebilme yeteneği 'yapay zekâ' olarak adlandırılabilir (Hazar, 2020; .",GİRİŞ,background
32228,"Bu kapsamda toplanan verilerin insan sinir ağlarına benzer bir formatta yorumlanması, bilgi üretmesi, analiz yapması ve kendi kendine bu bilgileri organize edebilme yeteneği 'yapay zekâ' olarak adlandırılabilir Poole et al., 1998) .",GİRİŞ,background
32229,"Yapay zekâ sağlığın birçok alanında kullanıldığı gibi rehabilitasyonun hizmetlerinde tanı, tedavi ve sınıflandırma aşamalarında da kullanılmaktadır (Russell & Norvig, 2010) .",GİRİŞ,background
32230,"Özellikle de insan-bilgisayar etkileşiminin olduğu her yerde kullanılması mümkündür (Nicolas & Gil, 2012) .",GİRİŞ,background
32231,"Rehabilitasyonda yapay zekâ, simbiyotik nöroprotezler ile miyoelektrik kontrol, beyin bilgisayar arayüz teknolojisi, perioperatif tıp ve daha birçok alanda kullanılmaktadır (Anderson, 2019; .",GİRİŞ,background
32232,"Rehabilitasyonda yapay zekâ, simbiyotik nöroprotezler ile miyoelektrik kontrol, beyin bilgisayar arayüz teknolojisi, perioperatif tıp ve daha birçok alanda kullanılmaktadır Pokorny et al., 2013; .",GİRİŞ,background
32233,"Rehabilitasyonda yapay zekâ, simbiyotik nöroprotezler ile miyoelektrik kontrol, beyin bilgisayar arayüz teknolojisi, perioperatif tıp ve daha birçok alanda kullanılmaktadır Sanchez et al., 2009; .",GİRİŞ,background
32234,"Rehabilitasyonda yapay zekâ, simbiyotik nöroprotezler ile miyoelektrik kontrol, beyin bilgisayar arayüz teknolojisi, perioperatif tıp ve daha birçok alanda kullanılmaktadır van Dokkum et al., 2015) .",GİRİŞ,background
32235,"Bu kapsamda, hastaya ait çıktılar değerlendirilerek rehabilitasyon uygulamalarının gelişim düzeyi, klinik ilerleme tahmini ve devamlılık takibi mümkün olmaktadır (Köse, 2018) .",GİRİŞ,background
32236,"Yapay zekâ temelli teknolojilerin rehabilitasyon hizmetlerinde kullanımı; kişinin düzeyine ve yeteneklerine göre uyarlanabilir olması, sağlık profesyoneli ve hasta için tedavinin zaman, yoğunluk, yaşanabilecek güçlükler gibi değişkenlerin sürekli yapılandırılmasının sağlanması, güvenilir ve geçerli kullanıcı algılama donanımı ile gerçek veri sağlaması, eş zamanlı geribildirim sağlaması, gerçek yaşam simülasyonu ile aktivite eğitim kolaylığı sunması ve rehabilitasyon sürecinde hasta ile terapistin olası tükenmişliğini azaltması gibi avantajlar sağlamaktadır (Tarakçı, 2021) .",GİRİŞ,background
32237,"Zekâ, insanlara özgü olduğu düşünülen, akıl yürütme, kavramlar arası bağlantı kurma, algılama ve sonuca varabilme yeteneklerinin tümü olarak tanımlanmaktadır (TDK, 2021) .",YAPAY ZEKÂ (Artifical Intelligence),background
32238,"Buna karşılık yapay zekâ ise insana özgü olduğuna inanılan bu özelliklerin makinelere kazandırılması olarak tanımlanabilir (Yiğit, 2011) .",YAPAY ZEKÂ (Artifical Intelligence),background
32239,"Bu durum yapay zekânın formüle edilmemiş farklı durumlarla baş edebilmesi anlamına gelmektedir (Poole et al., 1998) .",YAPAY ZEKÂ (Artifical Intelligence),background
32240,"Bu veri setleri örnek gözlem kodları ve bunların okunmasını sağlayan bir takım formlardan oluşmaktadır (Akgöbek & Çakır, 2009) .",YAPAY ZEKÂ (Artifical Intelligence),background
32241,"Bunlar; denetimli öğrenme, denetimsiz öğrenme, kümeleme (sınıflandırma) ve regresyon öğrenmedir (Anderson, 2019) .",YAPAY ZEKÂ (Artifical Intelligence),background
32242,"Derin öğrenme, birden çok işleme katmanından oluşan hesaplama modellerinin, birden çok soyutlama düzeyiyle verilerin temsillerini öğrenmesine olanak tanır (Krizhevsky et al., 2012; .",YAPAY ZEKÂ (Artifical Intelligence),background
32243,"Derin öğrenme, birden çok işleme katmanından oluşan hesaplama modellerinin, birden çok soyutlama düzeyiyle verilerin temsillerini öğrenmesine olanak tanır Szegedy et al., 2015) .",YAPAY ZEKÂ (Artifical Intelligence),background
32244,"Bu yöntemler, konuşma tanıma, görsel nesne tanıma, nesne algılama, ilaç keşfi ve genomik gibi diğer birçok alanda en son teknolojiyi önemli ölçüde geliştirmiştir (Helmstaedter et al., 2013) .",YAPAY ZEKÂ (Artifical Intelligence),background
32245,"Derin kıvrımlı ağlar görüntü, video, konuşma ve ses işlemede çığır açarken, tekrarlayan ağlar metin ve konuşma gibi sıralı verilere ışık tutmaktadır (Lecun et al., 2015) .",YAPAY ZEKÂ (Artifical Intelligence),background
32246,"Bu protez eller nesneleri kavrayabilmek amacıyla evrişimsel sinir ağlarını (CNN) kullanmaktadır (Degol et al., 2016; .",YAPAY ZEKÂ (Artifical Intelligence),background
32247,"Bu protez eller nesneleri kavrayabilmek amacıyla evrişimsel sinir ağlarını (CNN) kullanmaktadır Tang et al., 2016) .",YAPAY ZEKÂ (Artifical Intelligence),background
32248,"Bilgisayarların icadı, verilerin dağıtımı yoluyla kullanımına yol açan etkisiyle beraber bilgi ve iletişim teknolojisinin uygulanması, Toplum 4.0 bilgi toplumunun ortaya çıkmasına neden olmuştur (Fukuyama, 2018) .",SAĞLIKTA TOPLUM,background
32249,"Tüm bu aşamaların bir sonucu olarak, fiziksel ve siber alanı entegre etmeyi ve sürdürülebilir yaşam için kısıtlamasız bir ortam yaratmayı planlayan, teknoloji odaklı, süper akıllı bir toplum olan Toplum 5.0'ın ortaya çıkması kaçınılmaz olmuştur (Ferreira & Serpa, 2018) .",SAĞLIKTA TOPLUM,background
32250,"Toplumsal Gelişim Süreçleri Kaynak: (Kansal et al., 2021) .",SAĞLIKTA TOPLUM,other
32251,"Bu anlayışa göre toplumun amacı, refah ve sosyal zorlukların üstesinden gelmek böylece küresel toplumun refahına katkıda bulunarak eş zamanlı ekonomik büyüme ile birlikte, bölge, yaş, cinsiyet, dil farkı gözetmeksizin her zaman ve yerde herkese hizmet sunabileceği bir gerçeklik yaratmaktır (Vall, 2019) .",SAĞLIKTA TOPLUM,background
32252,"Bu sorunlar, finansal araçların etkin dağılımını sağlayacak ve bilgi akışını iyileştirecek ve böylece Toplum 5.0'da tüm sağlık sisteminin işleyişi üzerinde kontrol sağlayacak yenilikçi çözümlerin uygulanması için yeni yolların aranması gerektiği sonucuna yol açmaktadır (Jopkiewicz & Jopkiewicz, 2021) .",SAĞLIKTA TOPLUM,background
32253,"Yapay Sinir Ağları (YSA), insan beyninin işleyen süreçlerinden ilham alan verilerin analizi için uyarlanabilir modellerdir (Helmstaedter et al., 2013) .",REHABİLİTASYON HİZMETLERİ VE YAPAY ZEKÂ,background
